Time,Ecoregion,SoilType,NrOfCohorts,MaxLayerStdev,Layers,PAR0,Tmin(C),Tave(C),Tday(C),Tmax(C),Precip(mm/mo),CO2(ppm),O3(cum_ppb_h,RunOff(mm/mo),Leakage(mm),PET(mm),Evaporation(mm),Transpiration(mm),Interception(mm),PrecLoss(mm/mo),water(mm),PressureHead(mm),SnowPack(mm),LAI(m2),VPD(kPa),GrossPsn(gC_m2_mo),NetPsn(gC_m2_mo),MaintenanceRespiration(gC_mo),Wood(gDW),Root(gDW),Fol(gDW),NSC(gC),HeteroResp(gC_mo),Litter(gDW_m2),CWD(gDW_m2),WoodSenescence(gDW_m2),FoliageSenescence(gDW_m2),SubCanopyPAR,FrostDepth(mm),LeakageFrac(-)
2008,SALO1,SALO,1,34,1,242.6503,-0.732581,5.014767,7.888442,10.76212,43.24937,390,-99,0,29.70126,0,0,0,0,12.97481,188.5732,3,0,0,0.48968,0,0,0.02809303,51,25,0,6.836413,0,0,0.808000028133392,0,0,242.6503,1000,1
2008.083,SALO1,SALO,1,34,1,309.6854,2.053985,9.033519,12.52329,16.01305,87.49725,390,-99,0,61.24809,1.380561,1.380561,0,0,26.24918,187.1927,3,0,0,0.7432621,0,0,0.03734834,51,25,0,6.799063,0,0,0.808000028133392,0,0,309.6854,1000,1
2008.167,SALO1,SALO,1,34,1,427.9477,5.319365,12.11977,15.51997,18.92018,94.35492,390,-99,0,64.28703,9.062848,8.639734,0.4231137,0,28.30648,179.8913,3,0,0.03043793,0.8712474,2.432684,2.128457,0.04771448,51,25,7.609482,5.45554,0,0,0.808000028133392,0,0,421.484,1000,1
2008.25,SALO1,SALO,1,34,1,484.3776,9.717178,15.9354,19.04451,22.15362,130.224,390,-99,0,81.6326,13.00147,12.37363,0.6278358,0.3957723,38.94847,176.137,4,0,0.03043793,0.9985156,3.149643,2.76241,0.0640367,51,25,7.609482,8.153914,0,0,0.808000028133392,0,0,477.0616,1000,1
2008.333,SALO1,SALO,1,34,1,570.7784,13.28783,20.06555,23.4544,26.84326,68.88806,390,-99,0,34.66283,19.07866,17.99442,1.08424,0.2093622,20.60361,170.4706,4,0,0.03043793,1.361226,3.989929,3.473882,0.08758432,51,25,7.609482,11.54021,0,0,0.808000028133392,0,0,562.1574,1000,1
2008.417,SALO1,SALO,1,34,1,632.1385,20.37228,26.77989,29.98369,33.18749,70.42622,390,-99,0,29.70256,23.54841,22.05605,1.492357,0.2140369,21.06366,166.3682,5,0,0.03043793,1.846148,4.049264,3.370295,0.1409078,51,25,7.609482,14.7696,0,0,0.808000028133392,0,0,622.5908,1000,1
2008.5,SALO1,SALO,1,34,1,601.5918,20.26148,26.04866,28.94224,31.83583,158.0644,390,-99,0,86.8667,21.39232,20.01803,1.374288,0.4803839,47.27522,168.418,5,0,0.03043793,1.615724,4.260698,3.577389,0.1327042,51,25,7.609482,18.21428,0,0,0.808000028133392,0,0,592.5055,1000,1
2008.583,SALO1,SALO,1,34,1,539.7061,19.89562,25.30672,28.01226,30.71781,167.5434,390,-99,0,95.71574,17.06856,15.89872,1.169846,0.5091922,50.11028,172.5578,4,0,0.03043793,1.459234,4.015818,3.351813,0.1236111,51,25,7.609482,21.44248,0,0,0.808000028133392,0,0,531.5544,1000,1
2008.667,SALO1,SALO,1,34,1,399.7075,17.40167,22.15544,24.53233,26.90921,238.1141,390,-99,0,149.5117,7.310103,6.592477,0.7176259,0.723668,71.21712,181.9092,3,0,0.03043793,1.092861,3.289299,2.731525,0.09718242,51,25,7.609482,24.07683,0,0,0.808000028133392,0,0,393.6703,1000,1
2008.75,SALO1,SALO,1,34,1,376.281,7.999396,14.81745,18.22647,21.63549,32.76649,390,-99,0,15.74002,5.615657,5.101761,0.5138958,0.09958277,9.800072,183.4202,3,0,0.03043793,1.020735,2.521924,2.151278,0.05652161,51,25,7.609482,26.17159,0,0,0.808000028133392,0,0,370.5977,1000,1
2008.833,SALO1,SALO,1,34,1,260.205,2.731422,9.21212,12.45247,15.69282,105.572,390,-99,0,68.52278,0,0,0,0.3208508,31.57536,188.5732,3,0,0.02029297,0.7014577,0,0,0.03729836,51,25,5.073241,26.13428,0,2.53624033927917,0.808000028133392,0,2,257.5782,1000,1
2008.917,SALO1,SALO,1,34,1,201.6783,2.804395,8.743269,11.71271,14.68214,69.97529,390,-99,0,48.88333,0,0,0,0.1418566,20.95003,188.5732,3,0,0.02029297,0.628848,0,0,0.03577003,51,25,5.073241,26.09852,0,2.53624033927917,0.808000028133392,0,2,199.6424,1000,1
2009,SALO1,SALO,2,34,1,224.3089,-0.6918491,4.68653,7.37572,10.06491,43.60653,390,-99,0,30.46266,0,0,0,0.08840087,13.05544,188.5732,3,0,0.02029297,0.4510962,0,0,0.05491678,114,56,5.073241,13.61267,2,1,1.61600005626678,0,2,222.0446,1000,1
2009.083,SALO1,SALO,2,34,1,325.7593,0.4829189,7.258707,10.6466,14.0345,70.05885,390,-99,0,48.94174,2.232053,2.232053,0,0.1420261,20.97505,186.3412,3,0,0.02029297,0.6495363,0,0,0.0741161,114,56,5.073241,13.53855,2,1,1.61600005626678,0,2,322.4708,1000,1
